problem_id,title,difficulty,tags,text
prob-bank-082,Cognizant String Pattern Normalizer 5,Easy,Strings Cognizant Flipkart Company Wise,"Cognizant String Pattern Normalizer 5 Strings Cognizant Flipkart Company Wise Cognizant placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-083,Goldman Sachs Linked List Pointer Repair 5,Medium,Linked Lists Goldman Sachs Google Company Wise,"Goldman Sachs Linked List Pointer Repair 5 Linked Lists Goldman Sachs Google Company Wise Goldman Sachs placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-084,JP Morgan Stack Sequence Validator 5,Hard,Stacks JP Morgan Airbnb Company Wise,"JP Morgan Stack Sequence Validator 5 Stacks JP Morgan Airbnb Company Wise JP Morgan placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-085,Deloitte Queue Throughput Scheduler 5,Easy,Queues Deloitte Accenture Company Wise,"Deloitte Queue Throughput Scheduler 5 Queues Deloitte Accenture Company Wise Deloitte placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-086,PayPal Hash Map Collision Resolver 5,Medium,Hashing PayPal Atlassian Company Wise,"PayPal Hash Map Collision Resolver 5 Hashing PayPal Atlassian Company Wise PayPal placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-087,Atlassian Binary Tree Path Auditor 5,Hard,Trees Atlassian PhonePe Company Wise,"Atlassian Binary Tree Path Auditor 5 Trees Atlassian PhonePe Company Wise Atlassian placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-088,Cisco BST Range Inspector 5,Easy,Binary Search Trees Cisco Apple Company Wise,"Cisco BST Range Inspector 5 Binary Search Trees Cisco Apple Company Wise Cisco placement-style challenge focused on Binary Search Trees. You are given a compact assessment input and must apply ordered traversal and lower/upper bounds. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-089,Intel Priority Heap Ranker 5,Medium,Heaps Intel Oracle Company Wise,"Intel Priority Heap Ranker 5 Heaps Intel Oracle Company Wise Intel placement-style challenge focused on Heaps. You are given a compact assessment input and must apply top-k selection and priority queue maintenance. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-090,NVIDIA Graph Route Planner 5,Hard,Graphs NVIDIA Goldman Sachs Company Wise,"NVIDIA Graph Route Planner 5 Graphs NVIDIA Goldman Sachs Company Wise NVIDIA placement-style challenge focused on Graphs. You are given a compact assessment input and must apply BFS, DFS, connected components, and cycle checks. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-091,Flipkart Recursive State Explorer 5,Easy,Recursion Flipkart NVIDIA Company Wise,"Flipkart Recursive State Explorer 5 Recursion Flipkart NVIDIA Company Wise Flipkart placement-style challenge focused on Recursion. You are given a compact assessment input and must apply base cases and state transition trees. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-092,Swiggy Backtracking Choice Builder 5,Medium,Backtracking Swiggy Amazon Company Wise,"Swiggy Backtracking Choice Builder 5 Backtracking Swiggy Amazon Company Wise Swiggy placement-style challenge focused on Backtracking. You are given a compact assessment input and must apply choose-explore-unchoose search. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-093,Zomato Greedy Placement Optimizer 5,Hard,Greedy Algorithms Zomato Uber Company Wise,"Zomato Greedy Placement Optimizer 5 Greedy Algorithms Zomato Uber Company Wise Zomato placement-style challenge focused on Greedy Algorithms. You are given a compact assessment input and must apply local optimal choices and sorting. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-094,PhonePe DP Interview Grid 5,Easy,Dynamic Programming PhonePe Wipro Company Wise,"PhonePe DP Interview Grid 5 Dynamic Programming PhonePe Wipro Company Wise PhonePe placement-style challenge focused on Dynamic Programming. You are given a compact assessment input and must apply memoization, tabulation, and transitions. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-095,Razorpay Trie Prefix Directory 5,Medium,Tries Razorpay PayPal Company Wise,"Razorpay Trie Prefix Directory 5 Tries Razorpay PayPal Company Wise Razorpay placement-style challenge focused on Tries. You are given a compact assessment input and must apply prefix trees and character edges. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-096,Zoho Segment Tree Query Engine 5,Hard,Segment Trees Zoho Zomato Company Wise,"Zoho Segment Tree Query Engine 5 Segment Trees Zoho Zomato Company Wise Zoho placement-style challenge focused on Segment Trees. You are given a compact assessment input and must apply range queries and logarithmic updates. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-097,Amazon Bitmask Eligibility Filter 5,Easy,Bit Manipulation Amazon Meta Company Wise,"Amazon Bitmask Eligibility Filter 5 Bit Manipulation Amazon Meta Company Wise Amazon placement-style challenge focused on Bit Manipulation. You are given a compact assessment input and must apply xor, masks, and binary flags. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-098,Google Sliding Window Signal 5,Medium,Sliding Window Google Salesforce Company Wise,"Google Sliding Window Signal 5 Sliding Window Google Salesforce Company Wise Google placement-style challenge focused on Sliding Window. You are given a compact assessment input and must apply expand-shrink window invariants. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-099,Microsoft Two Pointer Interview Sweep 5,Hard,Two Pointers Microsoft Cognizant Company Wise,"Microsoft Two Pointer Interview Sweep 5 Two Pointers Microsoft Cognizant Company Wise Microsoft placement-style challenge focused on Two Pointers. You are given a compact assessment input and must apply sorted scans and converging pointers. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-100,Meta System Constraint Challenge 5,Easy,Advanced Interview Problems Meta Intel Company Wise,"Meta System Constraint Challenge 5 Advanced Interview Problems Meta Intel Company Wise Meta placement-style challenge focused on Advanced Interview Problems. You are given a compact assessment input and must apply hybrid algorithms and edge-case analysis. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-101,Apple Array Window Balancer 6,Medium,Arrays Apple Zoho Company Wise,"Apple Array Window Balancer 6 Arrays Apple Zoho Company Wise Apple placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-102,Netflix String Pattern Normalizer 6,Hard,Strings Netflix Adobe Company Wise,"Netflix String Pattern Normalizer 6 Strings Netflix Adobe Company Wise Netflix placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-103,Adobe Linked List Pointer Repair 6,Easy,Linked Lists Adobe Infosys Company Wise,"Adobe Linked List Pointer Repair 6 Linked Lists Adobe Infosys Company Wise Adobe placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-104,Uber Stack Sequence Validator 6,Medium,Stacks Uber Deloitte Company Wise,"Uber Stack Sequence Validator 6 Stacks Uber Deloitte Company Wise Uber placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-105,Airbnb Queue Throughput Scheduler 6,Hard,Queues Airbnb Swiggy Company Wise,"Airbnb Queue Throughput Scheduler 6 Queues Airbnb Swiggy Company Wise Airbnb placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-106,Stripe Hash Map Collision Resolver 6,Easy,Hashing Stripe Microsoft Company Wise,"Stripe Hash Map Collision Resolver 6 Hashing Stripe Microsoft Company Wise Stripe placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-107,Salesforce Binary Tree Path Auditor 6,Medium,Trees Salesforce Stripe Company Wise,"Salesforce Binary Tree Path Auditor 6 Trees Salesforce Stripe Company Wise Salesforce placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-108,Oracle BST Range Inspector 6,Hard,Binary Search Trees Oracle Capgemini Company Wise,"Oracle BST Range Inspector 6 Binary Search Trees Oracle Capgemini Company Wise Oracle placement-style challenge focused on Binary Search Trees. You are given a compact assessment input and must apply ordered traversal and lower/upper bounds. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-109,TCS Priority Heap Ranker 6,Easy,Heaps TCS Cisco Company Wise,"TCS Priority Heap Ranker 6 Heaps TCS Cisco Company Wise TCS placement-style challenge focused on Heaps. You are given a compact assessment input and must apply top-k selection and priority queue maintenance. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-110,Infosys Graph Route Planner 6,Medium,Graphs Infosys Razorpay Company Wise,"Infosys Graph Route Planner 6 Graphs Infosys Razorpay Company Wise Infosys placement-style challenge focused on Graphs. You are given a compact assessment input and must apply BFS, DFS, connected components, and cycle checks. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-111,Wipro Recursive State Explorer 6,Hard,Recursion Wipro Netflix Company Wise,"Wipro Recursive State Explorer 6 Recursion Wipro Netflix Company Wise Wipro placement-style challenge focused on Recursion. You are given a compact assessment input and must apply base cases and state transition trees. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-112,Accenture Backtracking Choice Builder 6,Easy,Backtracking Accenture TCS Company Wise,"Accenture Backtracking Choice Builder 6 Backtracking Accenture TCS Company Wise Accenture placement-style challenge focused on Backtracking. You are given a compact assessment input and must apply choose-explore-unchoose search. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-113,Capgemini Greedy Placement Optimizer 6,Medium,Greedy Algorithms Capgemini JP Morgan Company Wise,"Capgemini Greedy Placement Optimizer 6 Greedy Algorithms Capgemini JP Morgan Company Wise Capgemini placement-style challenge focused on Greedy Algorithms. You are given a compact assessment input and must apply local optimal choices and sorting. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-114,Cognizant DP Interview Grid 6,Hard,Dynamic Programming Cognizant Flipkart Company Wise,"Cognizant DP Interview Grid 6 Dynamic Programming Cognizant Flipkart Company Wise Cognizant placement-style challenge focused on Dynamic Programming. You are given a compact assessment input and must apply memoization, tabulation, and transitions. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-115,Goldman Sachs Trie Prefix Directory 6,Easy,Tries Goldman Sachs Google Company Wise,"Goldman Sachs Trie Prefix Directory 6 Tries Goldman Sachs Google Company Wise Goldman Sachs placement-style challenge focused on Tries. You are given a compact assessment input and must apply prefix trees and character edges. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-116,JP Morgan Segment Tree Query Engine 6,Medium,Segment Trees JP Morgan Airbnb Company Wise,"JP Morgan Segment Tree Query Engine 6 Segment Trees JP Morgan Airbnb Company Wise JP Morgan placement-style challenge focused on Segment Trees. You are given a compact assessment input and must apply range queries and logarithmic updates. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-117,Deloitte Bitmask Eligibility Filter 6,Hard,Bit Manipulation Deloitte Accenture Company Wise,"Deloitte Bitmask Eligibility Filter 6 Bit Manipulation Deloitte Accenture Company Wise Deloitte placement-style challenge focused on Bit Manipulation. You are given a compact assessment input and must apply xor, masks, and binary flags. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-118,PayPal Sliding Window Signal 6,Easy,Sliding Window PayPal Atlassian Company Wise,"PayPal Sliding Window Signal 6 Sliding Window PayPal Atlassian Company Wise PayPal placement-style challenge focused on Sliding Window. You are given a compact assessment input and must apply expand-shrink window invariants. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-119,Atlassian Two Pointer Interview Sweep 6,Medium,Two Pointers Atlassian PhonePe Company Wise,"Atlassian Two Pointer Interview Sweep 6 Two Pointers Atlassian PhonePe Company Wise Atlassian placement-style challenge focused on Two Pointers. You are given a compact assessment input and must apply sorted scans and converging pointers. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-120,Cisco System Constraint Challenge 6,Hard,Advanced Interview Problems Cisco Apple Company Wise,"Cisco System Constraint Challenge 6 Advanced Interview Problems Cisco Apple Company Wise Cisco placement-style challenge focused on Advanced Interview Problems. You are given a compact assessment input and must apply hybrid algorithms and edge-case analysis. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-121,Intel Array Window Balancer 7,Easy,Arrays Intel Oracle Company Wise,"Intel Array Window Balancer 7 Arrays Intel Oracle Company Wise Intel placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-122,NVIDIA String Pattern Normalizer 7,Medium,Strings NVIDIA Goldman Sachs Company Wise,"NVIDIA String Pattern Normalizer 7 Strings NVIDIA Goldman Sachs Company Wise NVIDIA placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-123,Flipkart Linked List Pointer Repair 7,Hard,Linked Lists Flipkart NVIDIA Company Wise,"Flipkart Linked List Pointer Repair 7 Linked Lists Flipkart NVIDIA Company Wise Flipkart placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-124,Swiggy Stack Sequence Validator 7,Easy,Stacks Swiggy Amazon Company Wise,"Swiggy Stack Sequence Validator 7 Stacks Swiggy Amazon Company Wise Swiggy placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-125,Zomato Queue Throughput Scheduler 7,Medium,Queues Zomato Uber Company Wise,"Zomato Queue Throughput Scheduler 7 Queues Zomato Uber Company Wise Zomato placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-126,PhonePe Hash Map Collision Resolver 7,Hard,Hashing PhonePe Wipro Company Wise,"PhonePe Hash Map Collision Resolver 7 Hashing PhonePe Wipro Company Wise PhonePe placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-127,Razorpay Binary Tree Path Auditor 7,Easy,Trees Razorpay PayPal Company Wise,"Razorpay Binary Tree Path Auditor 7 Trees Razorpay PayPal Company Wise Razorpay placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-128,Zoho BST Range Inspector 7,Medium,Binary Search Trees Zoho Zomato Company Wise,"Zoho BST Range Inspector 7 Binary Search Trees Zoho Zomato Company Wise Zoho placement-style challenge focused on Binary Search Trees. You are given a compact assessment input and must apply ordered traversal and lower/upper bounds. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-129,Amazon Priority Heap Ranker 7,Hard,Heaps Amazon Meta Company Wise,"Amazon Priority Heap Ranker 7 Heaps Amazon Meta Company Wise Amazon placement-style challenge focused on Heaps. You are given a compact assessment input and must apply top-k selection and priority queue maintenance. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-130,Google Graph Route Planner 7,Easy,Graphs Google Salesforce Company Wise,"Google Graph Route Planner 7 Graphs Google Salesforce Company Wise Google placement-style challenge focused on Graphs. You are given a compact assessment input and must apply BFS, DFS, connected components, and cycle checks. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-131,Microsoft Recursive State Explorer 7,Medium,Recursion Microsoft Cognizant Company Wise,"Microsoft Recursive State Explorer 7 Recursion Microsoft Cognizant Company Wise Microsoft placement-style challenge focused on Recursion. You are given a compact assessment input and must apply base cases and state transition trees. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-132,Meta Backtracking Choice Builder 7,Hard,Backtracking Meta Intel Company Wise,"Meta Backtracking Choice Builder 7 Backtracking Meta Intel Company Wise Meta placement-style challenge focused on Backtracking. You are given a compact assessment input and must apply choose-explore-unchoose search. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-133,Apple Greedy Placement Optimizer 7,Easy,Greedy Algorithms Apple Zoho Company Wise,"Apple Greedy Placement Optimizer 7 Greedy Algorithms Apple Zoho Company Wise Apple placement-style challenge focused on Greedy Algorithms. You are given a compact assessment input and must apply local optimal choices and sorting. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-134,Netflix DP Interview Grid 7,Medium,Dynamic Programming Netflix Adobe Company Wise,"Netflix DP Interview Grid 7 Dynamic Programming Netflix Adobe Company Wise Netflix placement-style challenge focused on Dynamic Programming. You are given a compact assessment input and must apply memoization, tabulation, and transitions. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-135,Adobe Trie Prefix Directory 7,Hard,Tries Adobe Infosys Company Wise,"Adobe Trie Prefix Directory 7 Tries Adobe Infosys Company Wise Adobe placement-style challenge focused on Tries. You are given a compact assessment input and must apply prefix trees and character edges. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-136,Uber Segment Tree Query Engine 7,Easy,Segment Trees Uber Deloitte Company Wise,"Uber Segment Tree Query Engine 7 Segment Trees Uber Deloitte Company Wise Uber placement-style challenge focused on Segment Trees. You are given a compact assessment input and must apply range queries and logarithmic updates. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-137,Airbnb Bitmask Eligibility Filter 7,Medium,Bit Manipulation Airbnb Swiggy Company Wise,"Airbnb Bitmask Eligibility Filter 7 Bit Manipulation Airbnb Swiggy Company Wise Airbnb placement-style challenge focused on Bit Manipulation. You are given a compact assessment input and must apply xor, masks, and binary flags. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-138,Stripe Sliding Window Signal 7,Hard,Sliding Window Stripe Microsoft Company Wise,"Stripe Sliding Window Signal 7 Sliding Window Stripe Microsoft Company Wise Stripe placement-style challenge focused on Sliding Window. You are given a compact assessment input and must apply expand-shrink window invariants. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-139,Salesforce Two Pointer Interview Sweep 7,Easy,Two Pointers Salesforce Stripe Company Wise,"Salesforce Two Pointer Interview Sweep 7 Two Pointers Salesforce Stripe Company Wise Salesforce placement-style challenge focused on Two Pointers. You are given a compact assessment input and must apply sorted scans and converging pointers. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-140,Oracle System Constraint Challenge 7,Medium,Advanced Interview Problems Oracle Capgemini Company Wise,"Oracle System Constraint Challenge 7 Advanced Interview Problems Oracle Capgemini Company Wise Oracle placement-style challenge focused on Advanced Interview Problems. You are given a compact assessment input and must apply hybrid algorithms and edge-case analysis. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-141,TCS Array Window Balancer 8,Hard,Arrays TCS Cisco Company Wise,"TCS Array Window Balancer 8 Arrays TCS Cisco Company Wise TCS placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-142,Infosys String Pattern Normalizer 8,Easy,Strings Infosys Razorpay Company Wise,"Infosys String Pattern Normalizer 8 Strings Infosys Razorpay Company Wise Infosys placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-143,Wipro Linked List Pointer Repair 8,Medium,Linked Lists Wipro Netflix Company Wise,"Wipro Linked List Pointer Repair 8 Linked Lists Wipro Netflix Company Wise Wipro placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-144,Accenture Stack Sequence Validator 8,Hard,Stacks Accenture TCS Company Wise,"Accenture Stack Sequence Validator 8 Stacks Accenture TCS Company Wise Accenture placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-145,Capgemini Queue Throughput Scheduler 8,Easy,Queues Capgemini JP Morgan Company Wise,"Capgemini Queue Throughput Scheduler 8 Queues Capgemini JP Morgan Company Wise Capgemini placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-146,Cognizant Hash Map Collision Resolver 8,Medium,Hashing Cognizant Flipkart Company Wise,"Cognizant Hash Map Collision Resolver 8 Hashing Cognizant Flipkart Company Wise Cognizant placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-147,Goldman Sachs Binary Tree Path Auditor 8,Hard,Trees Goldman Sachs Google Company Wise,"Goldman Sachs Binary Tree Path Auditor 8 Trees Goldman Sachs Google Company Wise Goldman Sachs placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-148,JP Morgan BST Range Inspector 8,Easy,Binary Search Trees JP Morgan Airbnb Company Wise,"JP Morgan BST Range Inspector 8 Binary Search Trees JP Morgan Airbnb Company Wise JP Morgan placement-style challenge focused on Binary Search Trees. You are given a compact assessment input and must apply ordered traversal and lower/upper bounds. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-149,Deloitte Priority Heap Ranker 8,Medium,Heaps Deloitte Accenture Company Wise,"Deloitte Priority Heap Ranker 8 Heaps Deloitte Accenture Company Wise Deloitte placement-style challenge focused on Heaps. You are given a compact assessment input and must apply top-k selection and priority queue maintenance. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-150,PayPal Graph Route Planner 8,Hard,Graphs PayPal Atlassian Company Wise,"PayPal Graph Route Planner 8 Graphs PayPal Atlassian Company Wise PayPal placement-style challenge focused on Graphs. You are given a compact assessment input and must apply BFS, DFS, connected components, and cycle checks. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-151,Atlassian Recursive State Explorer 8,Easy,Recursion Atlassian PhonePe Company Wise,"Atlassian Recursive State Explorer 8 Recursion Atlassian PhonePe Company Wise Atlassian placement-style challenge focused on Recursion. You are given a compact assessment input and must apply base cases and state transition trees. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-152,Cisco Backtracking Choice Builder 8,Medium,Backtracking Cisco Apple Company Wise,"Cisco Backtracking Choice Builder 8 Backtracking Cisco Apple Company Wise Cisco placement-style challenge focused on Backtracking. You are given a compact assessment input and must apply choose-explore-unchoose search. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-153,Intel Greedy Placement Optimizer 8,Hard,Greedy Algorithms Intel Oracle Company Wise,"Intel Greedy Placement Optimizer 8 Greedy Algorithms Intel Oracle Company Wise Intel placement-style challenge focused on Greedy Algorithms. You are given a compact assessment input and must apply local optimal choices and sorting. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-154,NVIDIA DP Interview Grid 8,Easy,Dynamic Programming NVIDIA Goldman Sachs Company Wise,"NVIDIA DP Interview Grid 8 Dynamic Programming NVIDIA Goldman Sachs Company Wise NVIDIA placement-style challenge focused on Dynamic Programming. You are given a compact assessment input and must apply memoization, tabulation, and transitions. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-155,Flipkart Trie Prefix Directory 8,Medium,Tries Flipkart NVIDIA Company Wise,"Flipkart Trie Prefix Directory 8 Tries Flipkart NVIDIA Company Wise Flipkart placement-style challenge focused on Tries. You are given a compact assessment input and must apply prefix trees and character edges. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-156,Swiggy Segment Tree Query Engine 8,Hard,Segment Trees Swiggy Amazon Company Wise,"Swiggy Segment Tree Query Engine 8 Segment Trees Swiggy Amazon Company Wise Swiggy placement-style challenge focused on Segment Trees. You are given a compact assessment input and must apply range queries and logarithmic updates. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-157,Zomato Bitmask Eligibility Filter 8,Easy,Bit Manipulation Zomato Uber Company Wise,"Zomato Bitmask Eligibility Filter 8 Bit Manipulation Zomato Uber Company Wise Zomato placement-style challenge focused on Bit Manipulation. You are given a compact assessment input and must apply xor, masks, and binary flags. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-158,PhonePe Sliding Window Signal 8,Medium,Sliding Window PhonePe Wipro Company Wise,"PhonePe Sliding Window Signal 8 Sliding Window PhonePe Wipro Company Wise PhonePe placement-style challenge focused on Sliding Window. You are given a compact assessment input and must apply expand-shrink window invariants. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-159,Razorpay Two Pointer Interview Sweep 8,Hard,Two Pointers Razorpay PayPal Company Wise,"Razorpay Two Pointer Interview Sweep 8 Two Pointers Razorpay PayPal Company Wise Razorpay placement-style challenge focused on Two Pointers. You are given a compact assessment input and must apply sorted scans and converging pointers. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-160,Zoho System Constraint Challenge 8,Easy,Advanced Interview Problems Zoho Zomato Company Wise,"Zoho System Constraint Challenge 8 Advanced Interview Problems Zoho Zomato Company Wise Zoho placement-style challenge focused on Advanced Interview Problems. You are given a compact assessment input and must apply hybrid algorithms and edge-case analysis. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-161,Amazon Array Window Balancer 9,Medium,Arrays Amazon Meta Company Wise,"Amazon Array Window Balancer 9 Arrays Amazon Meta Company Wise Amazon placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-162,Google String Pattern Normalizer 9,Hard,Strings Google Salesforce Company Wise,"Google String Pattern Normalizer 9 Strings Google Salesforce Company Wise Google placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-163,Microsoft Linked List Pointer Repair 9,Easy,Linked Lists Microsoft Cognizant Company Wise,"Microsoft Linked List Pointer Repair 9 Linked Lists Microsoft Cognizant Company Wise Microsoft placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-164,Meta Stack Sequence Validator 9,Medium,Stacks Meta Intel Company Wise,"Meta Stack Sequence Validator 9 Stacks Meta Intel Company Wise Meta placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-165,Apple Queue Throughput Scheduler 9,Hard,Queues Apple Zoho Company Wise,"Apple Queue Throughput Scheduler 9 Queues Apple Zoho Company Wise Apple placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Hard"
